seed,legacy_order_id,generated_order_id,method_cell,status,field_mismatches,metric_diffs
1,canonical,perm_000,no_replay,PASS_EXACT,none,A_after_mean:0;A_after_median:0;A_after_min:0;final_average_accuracy:0;average_forgetting:0;task_0_final_accuracy:0;task_1_final_accuracy:0;task_2_final_accuracy:0;task_3_final_accuracy:0;task_4_final_accuracy:0
1,canonical,perm_000,er100,PASS_EXACT,none,A_after_mean:0;A_after_median:0;A_after_min:0;final_average_accuracy:0;average_forgetting:0;task_0_final_accuracy:0;task_1_final_accuracy:0;task_2_final_accuracy:0;task_3_final_accuracy:0;task_4_final_accuracy:0
1,canonical,perm_000,er500,PASS_EXACT,none,A_after_mean:0;A_after_median:0;A_after_min:0;final_average_accuracy:0;average_forgetting:0;task_0_final_accuracy:0;task_1_final_accuracy:0;task_2_final_accuracy:0;task_3_final_accuracy:0;task_4_final_accuracy:0
1,canonical,perm_000,ewc,PASS_EXACT,none,A_after_mean:0;A_after_median:0;A_after_min:0;final_average_accuracy:0;average_forgetting:0;task_0_final_accuracy:0;task_1_final_accuracy:0;task_2_final_accuracy:0;task_3_final_accuracy:0;task_4_final_accuracy:0
1,shuffle_0,perm_062,no_replay,PASS_EXACT,none,A_after_mean:0;A_after_median:0;A_after_min:0;final_average_accuracy:0;average_forgetting:0;task_0_final_accuracy:0;task_1_final_accuracy:0;task_2_final_accuracy:0;task_3_final_accuracy:0;task_4_final_accuracy:0
1,shuffle_0,perm_062,er100,PASS_EXACT,none,A_after_mean:0;A_after_median:0;A_after_min:0;final_average_accuracy:0;average_forgetting:0;task_0_final_accuracy:0;task_1_final_accuracy:0;task_2_final_accuracy:0;task_3_final_accuracy:0;task_4_final_accuracy:0
1,shuffle_0,perm_062,er500,PASS_EXACT,none,A_after_mean:0;A_after_median:0;A_after_min:0;final_average_accuracy:0;average_forgetting:0;task_0_final_accuracy:0;task_1_final_accuracy:0;task_2_final_accuracy:0;task_3_final_accuracy:0;task_4_final_accuracy:0
1,shuffle_0,perm_062,ewc,PASS_EXACT,none,A_after_mean:0;A_after_median:0;A_after_min:0;final_average_accuracy:0;average_forgetting:0;task_0_final_accuracy:0;task_1_final_accuracy:0;task_2_final_accuracy:0;task_3_final_accuracy:0;task_4_final_accuracy:0
1,shuffle_1,perm_025,no_replay,PASS_EXACT,none,A_after_mean:0;A_after_median:0;A_after_min:0;final_average_accuracy:0;average_forgetting:0;task_0_final_accuracy:0;task_1_final_accuracy:0;task_2_final_accuracy:0;task_3_final_accuracy:0;task_4_final_accuracy:0
1,shuffle_1,perm_025,er100,PASS_EXACT,none,A_after_mean:0;A_after_median:0;A_after_min:0;final_average_accuracy:0;average_forgetting:0;task_0_final_accuracy:0;task_1_final_accuracy:0;task_2_final_accuracy:0;task_3_final_accuracy:0;task_4_final_accuracy:0
1,shuffle_1,perm_025,er500,PASS_EXACT,none,A_after_mean:0;A_after_median:0;A_after_min:0;final_average_accuracy:0;average_forgetting:0;task_0_final_accuracy:0;task_1_final_accuracy:0;task_2_final_accuracy:0;task_3_final_accuracy:0;task_4_final_accuracy:0
1,shuffle_1,perm_025,ewc,PASS_EXACT,none,A_after_mean:0;A_after_median:0;A_after_min:0;final_average_accuracy:0;average_forgetting:0;task_0_final_accuracy:0;task_1_final_accuracy:0;task_2_final_accuracy:0;task_3_final_accuracy:0;task_4_final_accuracy:0
1,shuffle_2,perm_061,no_replay,PASS_EXACT,none,A_after_mean:0;A_after_median:0;A_after_min:0;final_average_accuracy:0;average_forgetting:0;task_0_final_accuracy:0;task_1_final_accuracy:0;task_2_final_accuracy:0;task_3_final_accuracy:0;task_4_final_accuracy:0
1,shuffle_2,perm_061,er100,PASS_EXACT,none,A_after_mean:0;A_after_median:0;A_after_min:0;final_average_accuracy:0;average_forgetting:0;task_0_final_accuracy:0;task_1_final_accuracy:0;task_2_final_accuracy:0;task_3_final_accuracy:0;task_4_final_accuracy:0
